ITEM_NO,NUMBER_INT,ZZ_PP,ZZ_ZJXH,ZZ_DZ,ZZ_GCZX,ZZ_GCBH,ZZ_CZYQ,CATEGORY_ID,QUANTITY,UNIT,DELIV_DATE,ZZ_EXTWG,ZZ_EWBEZ
1356,1356,42071,1,32553,2,1318,21,65,42305,3058,26017,32529,32529
1184,1184,42071,229,32553,37167,3,21,65,42305,3058,26017,32529,32529
462,462,42071,81,32553,74,217,21,113,42305,19723,26017,32529,32529
439,439,42071,35,32553,37167,1,42265,166,42305,19723,26017,32529,32529
416,416,42071,17,32553,21,1,42265,65,42305,19723,26017,32529,32529
396,396,42071,10,32553,1,41,42265,113,42305,19723,26017,32529,32529
379,379,42071,11,32553,2,410,21,243,42305,19723,26017,32529,32529
368,368,42071,1,32553,37167,343,42265,7,42305,19723,26017,32529,32529
355,355,42071,3158,32553,37167,19,42265,217,42305,19723,26017,32529,32529
339,339,42071,50,32553,81,343,21,99,42305,19723,26017,32529,32529
323,323,42071,64,32553,37167,35202,21,243,42305,686,26017,32529,32529
312,312,42071,35,32553,37167,343,21,166,42305,19723,26017,32529,32529
290,290,42071,8,32553,2,343,21,363,42305,19723,26017,32529,32529
287,287,42071,471,32553,32,35202,21,450,42305,19723,26017,32529,32529
273,273,42071,4,32553,4,1318,21,4,42305,686,26017,32529,32529
261,261,42071,53,32553,37167,410,3,217,42305,19723,26017,32529,32529
250,250,42071,11,32553,37167,529,21,113,42305,19723,26017,32529,32529
355,355,42071,18,32553,37167,529,21,86,42305,19723,26017,32529,32529
339,339,42071,795,32553,78,2,21,86,42305,19723,26017,32529,32529
323,323,42071,3158,32553,16,335,42265,86,42305,8960,26017,32529,32529
312,312,42071,50,32553,37167,1318,21,86,42305,19723,26017,32529,32529
290,290,42071,82,32553,37167,529,42265,86,42305,19723,26017,32529,32529
287,287,3,471,32553,190,529,21,25,42305,19723,26017,32529,32529
273,273,42071,3158,32553,44,34,21,86,42305,19723,26017,32529,32529
261,261,42071,3158,32553,34,86,21,86,42305,8960,26017,32529,32529
250,250,42071,5,32553,16,343,42265,86,42305,8960,26017,32529,32529
231,231,42071,269,32553,37167,11,21,86,42305,19723,26017,32529,32529
529,529,42071,16,32553,190,1318,42265,154,42305,3058,26017,32529,32529
503,503,42071,34,32553,7,104,42265,154,42305,3058,26017,32529,32529
484,484,42071,471,32553,37167,74,42265,154,42305,8960,26017,32529,32529
462,462,42071,20,32553,6,529,42265,154,42305,3058,26017,32529,32529
439,439,42071,3158,32553,2,1,42265,154,42305,8960,26017,32529,32529
416,416,42071,3158,32553,37167,1318,21,154,42305,3058,26017,32529,32529
396,396,42071,61,32553,37167,1318,21,154,42305,8960,26017,32529,32529
379,379,42071,3158,32553,81,529,21,154,42305,8960,26017,32529,32529
368,368,42071,389,32553,37167,335,21,11,42305,8960,26017,32529,32529
355,355,42071,3158,32553,81,410,42265,154,42305,3058,26017,32529,32529
339,339,42071,25,32553,64,335,21,154,42305,3058,26017,32529,32529
323,323,42071,77,32553,37167,1318,21,154,42305,8960,26017,32529,32529
312,312,42071,9,32553,25,1,42265,154,42305,3058,26017,32529,32529
290,290,42071,195,32553,23,2,21,154,42305,8960,26017,32529,32529
287,287,42071,19,32553,37167,35202,42265,154,42305,8960,26017,32529,32529
273,273,42071,53,32553,37167,529,21,154,42305,8960,26017,32529,32529
261,261,42071,389,32553,37,410,21,154,42305,3058,26017,32529,32529
250,250,42071,38,32553,37167,217,42265,154,42305,8960,26017,32529,32529
231,231,42071,120,32553,1,78,21,154,42305,8960,26017,32529,32529
215,215,42071,26183,32553,7,410,21,154,42305,3058,26017,32529,32529
212,212,42071,8,32553,2,35202,21,154,42305,3058,26017,32529,32529
207,207,42071,71,32553,3,529,42265,154,42305,3058,26017,32529,32529
197,197,42071,3158,32553,81,1,42265,154,42305,3058,26017,32529,32529
191,191,42071,3158,32553,37167,529,42265,154,42305,8960,26017,32529,32529
186,186,3,244,32553,2,305,21,154,42305,8960,26017,32529,32529
180,180,42071,3158,32553,190,35202,3,154,42305,8960,26017,32529,32529
2010,2010,42071,1,32553,28,1,42265,65,42305,8960,26017,32529,32529
1724,1724,42071,269,32553,14,45,42265,65,42305,8960,26017,32529,32529
1529,1529,42071,6,32553,133,1318,42265,65,42305,8960,26017,32529,32529
4155,4155,42071,3158,32553,8,1318,21,157,42305,8960,26017,32529,32529
2932,2932,42071,65,32553,34,11,21,157,42305,8960,26017,32529,32529
4155,4155,42071,3158,32553,14,305,42265,98,42305,8960,26017,32529,32529
2932,2932,42071,3158,32553,37167,529,21,98,42305,8960,26017,32529,32529
2373,2373,42071,3158,32553,25,403,21,98,42305,8960,26017,32529,32529
2010,2010,42071,65,32553,37167,305,21,98,42305,8960,26017,32529,32529
1724,1724,42071,56,32553,37167,41,21,98,42305,19723,26017,32529,32529
1529,1529,42071,3158,32553,37167,7,21,98,42305,8960,26017,32529,32529
1356,1356,42071,5,32553,37167,1,42265,3,42305,8960,26017,32529,32529
1184,1184,42071,2,32553,81,403,42265,98,42305,8960,26017,32529,32529
1077,1077,42071,3158,32553,101,73,21,98,42305,19723,26017,32529,32529
994,994,42071,45,32553,37167,2,42265,98,42305,8960,26017,32529,32529
908,908,42071,2,32553,12,1318,21,98,42305,8960,26017,32529,32529
843,843,42071,26183,32553,101,3,42265,98,42305,8960,26017,32529,32529
764,764,42071,3158,32553,37167,529,21,98,42305,8960,26017,32529,32529
715,715,42071,3158,32553,37167,1318,42265,98,42305,8960,26017,32529,32529
658,658,42071,3158,32553,37167,1,21,98,42305,8960,26017,32529,32529
616,616,42071,79,32553,23,529,42265,98,42305,8960,26017,32529,32529
575,575,42071,26183,32553,2,1,21,98,42305,8960,26017,32529,32529
529,529,42071,123,32553,14,1318,3,98,42305,8960,26017,32529,32529
503,503,42071,3158,32553,1,335,42265,98,42305,8960,26017,32529,32529
484,484,42071,21,32553,6,1318,21,98,42305,8960,26017,32529,32529
462,462,4,13,32553,81,35202,21,98,42305,8960,26017,32529,32529
1077,1077,42071,40,32553,27,403,21,65,42305,2068,26017,32529,32529
994,994,42071,3158,32553,22,24,21,378,42305,19723,26017,32529,32529
908,908,42071,3158,32553,9,1,21,65,42305,3058,26017,32529,32529
843,843,42071,65,32553,4,1,42265,65,42305,686,26017,32529,32529
764,764,42071,389,32553,37167,1,21,65,42305,3058,26017,32529,32529
715,715,42071,34,32553,14,1318,21,65,42305,686,26017,32529,32529
658,658,42071,27,32553,2,2,21,378,42305,19723,26017,32529,32529
616,616,42071,3158,32553,190,1318,21,65,42305,3058,26017,32529,32529
575,575,42071,120,32553,37167,1318,21,65,42305,3058,26017,32529,32529
529,529,42071,3158,32553,22,1318,21,65,42305,686,26017,32529,32529
503,503,42071,133,32553,37167,1,21,65,42305,3058,26017,32529,32529
484,484,42071,2,32553,101,335,21,65,42305,3058,26017,32529,32529
462,462,42071,20,32553,1,2,42265,378,42305,19723,26017,32529,32529
439,439,42071,19,32553,74,1,42265,65,42305,3058,26017,32529,32529
4155,4155,42071,82,32553,17,410,42265,3,42305,8960,26017,32529,32529
2932,2932,42071,3158,32553,23,41,21,3,42305,8960,26017,32529,32529
2373,2373,42071,327,32553,8,529,21,3,42305,8960,26017,32529,32529
4155,4155,42071,26183,32553,11,2,21,130,42305,3058,26017,32529,32529
2932,2932,42071,79,32553,36,18,21,1,42305,19723,26017,32529,32529
2373,2373,42071,3158,32553,21,5,42265,130,42305,3058,26017,32529,32529
2010,2010,42071,109,32553,17,35202,42265,10,42305,3058,26017,32529,32529
1724,1724,42071,30,32553,1,2,3,130,42305,3058,26017,32529,32529
1529,1529,42071,44,32553,37167,343,42265,10,42305,3058,26017,32529,32529
1356,1356,42071,118,32553,37167,73,42265,130,42305,3058,26017,32529,32529
1184,1184,42071,2,32553,37167,1,21,130,42305,3058,26017,32529,32529
1077,1077,42071,7,32553,5,35202,42265,130,42305,3058,26017,32529,32529
215,215,42071,23,32553,1,343,42265,86,42305,19723,26017,32529,32529
212,212,42071,3,32553,5,305,21,86,42305,19723,26017,32529,32529
207,207,42071,5,32553,37167,71,21,86,42305,8960,26017,32529,32529
197,197,42071,1,32553,37167,34,42265,86,42305,8960,26017,32529,32529
191,191,42071,9,32553,2,305,42265,86,42305,8960,26017,32529,32529
4155,4155,42071,3158,32553,16,76,42265,144,42305,3058,26017,32529,32529
2932,2932,42071,2,32553,14,529,21,144,42305,8960,26017,32529,32529
2373,2373,42071,150,32553,78,1318,42265,144,42305,3058,26017,32529,32529
2010,2010,42071,1,32553,12,1318,21,144,42305,8960,26017,32529,32529
1724,1724,42071,327,32553,78,529,21,144,42305,3058,26017,32529,32529
1529,1529,42071,194,32553,1,26,42265,144,42305,3058,26017,32529,32529
1356,1356,42071,133,32553,37167,1318,42265,144,42305,19723,26017,32529,32529
1184,1184,42071,2,32553,37167,335,42265,144,42305,8960,26017,32529,32529
1077,1077,42071,26183,32553,13,12,42265,144,42305,8960,26017,32529,32529
994,994,42071,1,32553,37167,305,21,144,42305,3058,26017,32529,32529
908,908,42071,269,32553,37,1,42265,144,42305,8960,26017,32529,32529
843,843,42071,2,32553,37167,1,42265,144,42305,8960,26017,32529,32529
764,764,42071,4,32553,6,217,21,144,42305,8960,26017,32529,32529
4155,4155,42071,6,32553,190,403,42265,9,42305,19723,26017,32529,32529
2932,2932,42071,29,32553,213,529,21,9,42305,19723,26017,32529,32529
2373,2373,42071,57,32553,37167,529,42265,9,42305,19723,26017,32529,32529
2010,2010,42071,244,32553,37167,1,21,9,42305,3058,26017,32529,32529
1724,1724,42071,156,32553,3,86,21,9,42305,19723,26017,32529,32529
1529,1529,42071,71,32553,1,3,21,9,42305,19723,26017,32529,32529
4155,4155,2,244,32553,1,1318,21,2,42305,894,26017,32529,32529
4155,4155,42071,31,32553,133,73,21,11,42305,8960,26017,32529,32529
2932,2932,42071,3,32553,37167,11,21,11,42305,19723,26017,32529,32529
2373,2373,42071,94,32553,37167,45,42265,11,42305,19723,26017,32529,32529
2010,2010,42071,1,32553,1,1318,42265,11,42305,8960,26017,32529,32529
4155,4155,42071,795,32553,213,1318,42265,94,42305,3058,26017,32529,32529
2932,2932,42071,14,32553,37167,74,42265,94,42305,3058,26017,32529,32529
4155,4155,42071,795,32553,37,4,42265,525,42305,3058,26017,32529,32529
2932,2932,42071,795,32553,37167,3,21,525,42305,3058,26017,32529,32529
2373,2373,42071,795,32553,14,529,21,525,42305,3058,26017,32529,32529
2010,2010,42071,795,32553,37167,529,21,525,42305,3058,26017,32529,32529
