START_TIME,PS_TNDR_REQ,PS_TNDR_AMNT,PS_EMD_REQ,ZFYLX,CHANGE_BY,PROCESS_TYPE,STATUS,APPROVE,PROC_GROUP,ZZ_NOTICE,ZZ_DAPPROVE,ZZ_EC,ZZ_URL,ITEM_MODIFY,PURCHASE_MODIFY,STANDARD_MODIFY,ZZ_PBYZ,ZZ_ZBFYF_S,ZJ_LBMS,ZZ_PBRS,ZQUOT_VIS,ZZ_LB
10591,1,10857,1,8074,783,2645,10068,9258,195,23,4536,125,10723,10709,37,183,109,4164,166,3574,3360,124
10591,1,10857,1,8074,707,6895,10068,9258,13,31,4536,125,10723,10709,37,183,2944,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,13,10724,4536,125,10723,10709,37,183,2944,4164,166,5841,4081,124
10591,1,10857,1,8074,707,6895,10068,9258,13,37,4536,125,10723,16,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,13,10724,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,10732
10591,1,10857,1,8074,707,6895,10068,9258,155,23,4536,125,10723,16,37,183,2944,4164,128,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,155,31,4536,2,10723,10709,37,183,2944,4164,7119,5841,4081,124
10591,1,10857,1,8074,1333,6895,10068,9258,479,37,4536,125,10723,10709,37,183,54,4164,567,5841,4081,124
10591,1,10857,1,8074,1402,6895,10068,9258,479,31,4536,125,10723,10709,37,183,54,4164,1679,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,37,4536,125,10723,10709,37,183,279,4164,554,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,31,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,707,593,10068,9258,13,31,4536,125,10723,10709,37,183,3,4164,1679,5841,4081,124
10591,1,10857,1,8074,707,593,10068,9258,13,31,4536,125,10723,10709,37,183,3,4164,1679,5841,4081,124
10591,1,10857,1,8074,707,593,10068,9258,13,37,4536,2,10723,10709,37,183,3,4164,1679,5841,4081,124
10591,1,10857,1,8074,1402,6895,10068,9258,235,37,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,235,10724,4536,125,10723,16,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,2783,1333,6895,10068,9258,149,10724,4536,125,10723,10709,37,183,40,4164,1679,5841,4081,124
10591,1,10857,1,2783,1402,6895,10068,9258,149,10724,4536,125,10723,10709,37,183,40,4164,89,5841,4081,124
10591,1,10857,1,2783,1402,6895,10068,9258,149,31,4536,125,10723,10709,37,183,40,4164,567,5841,4081,124
